,length,ragged_substring_match,ragged_f1,ragged_rougel_f1,ragged_rougel_p,ragged_rougel_r,dataset,model,retriever,condition,num_preds,qampari_prec_mean,qampari_prec_std,qampari_rec_mean,qampari_rec_std,qampari_rec_top5_mean,qampari_rec_top5_std,qampari_f1_mean,qampari_f1_std,qampari_f1_top5_mean,qampari_f1_top5_std,citation_rec_mean,citation_rec_std,citation_prec_mean,citation_prec_std,num_sent_mean,unattributed_sents_mean,citations_oor,qampari_prec,qampari_rec,qampari_rec_top5,qampari_f1,qampari_f1_top5,citation_rec,citation_prec
27,11.06,,,,,,qampari,Llama,colbert,3,4.332,24.401149015673006,32.47732598000885,11.76462200179356,18.912635087096753,19.86,27.935289509865473,14.14970368895095,20.478133159433177,20.351455728464934,26.63970149331625,62.91619047619048,47.634205025751974,41.353968253968254,38.11901757828744,1.068,0.034,0.0,,,,,,,
28,11.725,,,,,,qampari,Llama,colbert,4,4.541,25.033641203567672,32.969174590639774,12.899836994569494,20.044242332825633,21.34,29.055195748781316,15.323656279981842,21.858637221629074,21.59022990013613,27.823943204360507,34.91324657991324,47.00285540744709,25.08508508508508,37.26542681036515,1.067067067067067,0.10810810810810811,0.0,,,,,,,
29,13.403,,,,,,qampari,Llama,colbert,5,4.905,23.958858140892357,31.870095257005325,12.921536006730802,19.395224523006306,21.66,28.87290078949464,15.191319170684782,21.371187786999204,21.469966246680094,27.730268938044407,22.05076820307281,40.613921643065424,15.843989566434455,31.640516897601234,1.1002004008016033,0.16432865731462926,0.0,,,,,,,
30,20.375,,,,,,qampari,Llama,colbert,10,7.478,19.33929982297287,27.499637242073966,14.45710343665066,22.236351221177664,24.96,33.69567331275634,14.738735420972462,21.49281964239286,20.602719892112837,27.99753674802979,3.7185087719298244,17.85153370037221,2.8033333333333332,14.108156777351216,1.114,0.479,0.0,,,,,,,
31,0.013,,,,,,qampari,Llama,colbert,20,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,
32,0.0,,,,,,qampari,Llama,colbert,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
33,13.899,,,,,,qampari,Llama,,gold,5.299,33.118331671525404,35.59518325398325,18.125329885299035,22.029427547357386,32.5,34.82743171696701,21.13947248215974,24.149410761019784,31.28735260605684,33.124182852611554,24.04116465863454,42.22614185582986,16.30737234652897,31.88497061880509,1.0471887550200802,0.13353413654618473,0.0,,,,,,,
34,14.464,,,,,,qampari,Llama,,no-context,6.108,11.075988594738595,20.84970446903019,7.594115979796156,15.55934283641502,13.76,25.928023449542003,8.276499961615826,16.145399688369963,12.029023303837544,22.415093556872424,,,,,,,,,,,,,,
35,22.927,,,,,,qampari,Mistral,bge-base,1,5.13,,,,,,,,,,,,,,,,,,13.192666696822272,8.343582536962439,14.320000000000002,9.042328741490415,12.747239744339009,33.13761904761904,36.16666666666667
36,21.444,,,,,,qampari,Mistral,bge-base,2,5.414,,,,,,,,,,,,,,,,,,16.24226439536382,10.129760189839567,16.82,10.77740698294201,14.889089883028628,36.553333333333335,31.588333333333335
37,25.412,,,,,,qampari,Mistral,bge-base,3,5.899,,,,,,,,,,,,,,,,,,15.779836776703837,9.804986698767264,16.960000000000004,10.613934261350256,14.915498001878264,35.75083333333333,32.11964285714286
38,22.127,,,,,,qampari,Mistral,bge-base,4,5.236,,,,,,,,,,,,,,,,,,17.402883691471928,10.412472709969483,17.560000000000002,11.581291257091184,16.310603987547182,32.82666666666667,29.635
